"col0","col1","col2","col3","col4"
"getcpu_cache","blob","unsigned long[16]",0,false
"getcpu_cache","blob","unsigned long[32]",0,false
"bf_ctx","s","u32[1024]",72,false
"bf_ctx","p","u32[18]",0,false
"s","conv","__be32",0,false
"cast6_ctx","Kr","u8[12][4]",192,false
"cast6_ctx","Km","u32[12][4]",0,false
"sm4_ctx","rkey_dec","u32[32]",128,false
"sm4_ctx","rkey_enc","u32[32]",0,false
"serpent_ctx","expkey","u32[132]",0,false
"cpu","dev","device",8,false
"cpu","node_id","int",0,false
"cpu","hotpluggable","int",4,false
"crypto_skcipher","base","crypto_tfm",8,false
"crypto_skcipher","reqsize","unsigned int",0,false
"nhpoly1305_state","buffer","u8[16]",24,false
"nhpoly1305_state","nh_hash","__le64[4]",48,false
"nhpoly1305_state","nh_remaining","unsigned int",44,false
"nhpoly1305_state","buflen","unsigned int",40,false
"nhpoly1305_state","poly_state","poly1305_state",0,false
"des3_ede_ctx","expkey","u32[96]",0,false
"__va_list_tag","gp_offset","unsigned int",0,false
"__va_list_tag","fp_offset","unsigned int",4,false
"__va_list_tag","overflow_arg_area","void *",8,false
"__va_list_tag","reg_save_area","void *",16,false
"des_ctx","expkey","u32[32]",0,false
"nhpoly1305_key","nh_key","u32[268]",48,false
"nhpoly1305_key","poly_key","poly1305_core_key",0,false
"old_cmdline","cl_offset","u16",2,false
"old_cmdline","cl_magic","u16",0,false
"buffer","p","char *",0,false
"buffer","pos","int",8,false
"buffer","state","YY_BUFFER_STATE",8,false
"buffer","size","int",12,false
"buffer","parent","buffer *",0,false
"key","state","short",240,false
"key","(unknown field)","(unnamed class/struct/union)",8,false
"key","(unknown field)","(unnamed class/struct/union)",208,false
"key","(unknown field)","(unnamed class/struct/union)",256,false
"key","(unknown field)","(unnamed class/struct/union)",296,false
"key","flags","unsigned long",248,false
"key","serial","key_serial_t",4,false
"key","user","key_user *",192,false
"key","usage","refcount_t",0,false
"key","gid","kgid_t",228,false
"key","security","void *",200,false
"key","uid","kuid_t",224,false
"key","restrict_link","key_restriction *",328,false
"key","datalen","unsigned short",238,false
"key","quotalen","unsigned short",236,false
"key","perm","key_perm_t",232,false
"key","last_used_at","time64_t",216,false
"key","sem","rw_semaphore",40,false
"key","watchers","watch_list *",32,false
"port","name","char *",352,false
"port","port","tty_port",0,false
"port","id","u32",368,false
"port","list","list_head",0,false
"port","list","list_head",0,true
"port","dev","device *",256,false
"port","kref","kref",264,false
"port","stats","port_stats",184,false
"port","dc","nozomi *",1144,false
"port","cdev","cdev *",248,false
"port","cons","console",208,false
"port","inbuf","port_buffer *",24,false
"port","slave","slave *",112,false
"port","is_enabled","bool",54,false
"port","dl_size","u32[2]",968,false
"port","async_queue","fasync_struct *",360,false
"port","portdev","ports_device *",16,false
"port","out_vq","virtqueue *",168,false
"port","guest_connected","bool",374,false
"port","host_connected","bool",373,false
"port","outvq_full","bool",372,false
"port","waitqueue","wait_queue_head_t",272,false
"port","debugfs_file","dentry *",176,false
"port","in_vq","virtqueue *",160,false
"port","outvq_lock","spinlock_t",96,false
"port","inbuf_lock","spinlock_t",32,false
"port","aggregator","aggregator *",120,false
"port","transaction_id","u32",136,false
"port","lacpdu","lacpdu",140,false
"port","next_port_in_aggregator","port *",128,false
"port","sm_churn_partner_state","churn_state_t",108,false
"port","sm_churn_actor_state","churn_state_t",104,false
"port","churn_partner_count","u32",100,false
"port","churn_actor_count","u32",96,false
"port","sm_churn_partner_timer_counter","u16",92,false
"port","sm_churn_actor_timer_counter","u16",90,false
"port","sm_tx_timer_counter","u16",88,false
"port","sm_tx_state","tx_states_t",84,false
"port","sm_mux_timer_counter","u16",80,false
"port","sm_mux_state","mux_states_t",76,false
"port","sm_periodic_timer_counter","u16",72,false
"port","sm_periodic_state","periodic_states_t",68,false
"port","sm_rx_timer_counter","u16",64,false
"port","sm_rx_state","rx_states_t",60,false
"port","sm_vars","u16",56,false
"port","partner_oper","port_params",38,false
"port","partner_admin","port_params",22,false
"port","actor_oper_port_state","u8",21,false
"port","actor_admin_port_state","u8",20,false
"port","actor_oper_port_key","u16",18,false
"port","actor_admin_port_key","u16",16,false
"port","ntt","bool",14,false
"port","actor_port_aggregator_identifier","u16",12,false
"port","actor_system_priority","u16",10,false
"port","actor_system","mac_addr",4,false
"port","actor_port_priority","u16",2,false
"port","actor_port_number","u16",0,false
"port","ctrl_dl","ctrl_dl",923,false
"port","ctrl_ul","ctrl_ul",921,false
"port","ul_size","u32[2]",1000,false
"port","tty_icount","async_icount",1096,false
"port","tty_wait","wait_queue_head_t",1016,false
"port","token_dl","u16",1010,false
"port","toggle_ul","u8",1008,false
"port","ul_addr","void *[2]",984,false
"port","toggle_dl","u8",976,false
"port","dl_addr","void *[2]",952,false
"port","fifo_ul","kfifo",928,false
"port","update_flow_control","u8",920,false
"static_call_key","(unknown field)","(unnamed class/struct/union)",4,false
"static_call_key","(unknown field)","(unnamed class/struct/union)",8,false
"static_call_key","func","void *",0,false
"(unnamed class/struct/union)","error","short",8,false
"(unnamed class/struct/union)","error","int",0,false
"(unnamed class/struct/union)","error","int",24,false
"(unnamed class/struct/union)","error","long",16,false
"(unnamed class/struct/union)","error","(unnamed class/struct/union)",0,false
"(unnamed class/struct/union)","error","u8",0,false
"(unnamed class/struct/union)","error","__u8",0,false
"(unnamed class/struct/union)","error","uint8_t",2,false
"(unnamed class/struct/union)","error","uint8_t",9,false
"(unnamed class/struct/union)","error","size_t",0,false
"(unnamed class/struct/union)","error","cpc_can_error",0,false
"(unnamed class/struct/union)","unknown","(unnamed class/struct/union)",0,false
"(unnamed class/struct/union)","unknown","__le16",4,false
"(unnamed class/struct/union)","unknown","__le16",14,false
"(unnamed class/struct/union)","unknown","uint8_t",1,false
"(unnamed class/struct/union)","unknown","ath10k_htc_unknown",0,false
"(unnamed class/struct/union)","name","const char *",0,false
"(unnamed class/struct/union)","name","const char *",1,false
"(unnamed class/struct/union)","name","const char *",8,false
"(unnamed class/struct/union)","name","char",2,false
"(unnamed class/struct/union)","name","char *",0,false
"(unnamed class/struct/union)","name","char *",8,false
"(unnamed class/struct/union)","name","char *",16,false
"(unnamed class/struct/union)","name","char *",56,false
"(unnamed class/struct/union)","name","char[64]",8,false
"(unnamed class/struct/union)","name","u8[16]",0,false
"(unnamed class/struct/union)","name","(unnamed class/struct/union)",0,false
"(unnamed class/struct/union)","name","char[29]",2,false
"(unnamed class/struct/union)","name","char[32]",0,false
"(unnamed class/struct/union)","name","char[32]",16,false
"(unnamed class/struct/union)","name","char[31]",0,false
"(unnamed class/struct/union)","name","char[31]",264,false
"(unnamed class/struct/union)","name","char[57]",0,false
"(unnamed class/struct/union)","name","char[128]",8,false
"(unnamed class/struct/union)","name","const char[16]",24,false
"(unnamed class/struct/union)","name","char[16]",0,false
"(unnamed class/struct/union)","name","char[16]",4,false
"(unnamed class/struct/union)","name","const char *const",0,false
"(unnamed class/struct/union)","name","const char *const",8,false
"(unnamed class/struct/union)","name","u32",0,false
"(unnamed class/struct/union)","name","u8",0,false
"(unnamed class/struct/union)","name","__u64",0,false
"(unnamed class/struct/union)","name","char[1]",8,false
"(unnamed class/struct/union)","name","char[80]",32,false
"(unnamed class/struct/union)","name","filename *",0,false
"(unnamed class/struct/union)","name","u8[]",12,false
"(unnamed class/struct/union)","name","const char[32]",0,false
"(unnamed class/struct/union)","name","__u8[32]",0,false
"(unnamed class/struct/union)","name","SVGA3dTextureStateName",4,false
"(unnamed class/struct/union)","name","char[4040]",0,false
"(unnamed class/struct/union)","name","ntfschar[0]",0,false
"(unnamed class/struct/union)","name","ntfschar[0]",10,false
"(unnamed class/struct/union)","name","ntfschar[0]",26,false
"(unnamed class/struct/union)","name","ntfschar[64]",0,false
"(unnamed class/struct/union)","name","ntfschar *",8,false
"(unnamed class/struct/union)","name","tipc_service_addr",0,false
"(unnamed class/struct/union)","name","const tomoyo_path_info *",0,false
"(unnamed class/struct/union)","blob","void *",0,false
"(unnamed class/struct/union)","unused","void *",0,false
"(unnamed class/struct/union)","unused","u8[4]",36,false
"(unnamed class/struct/union)","unused","u8[16]",0,false
"(unnamed class/struct/union)","unused","u8[8]",8,false
"(unnamed class/struct/union)","unused","__le64",0,false
"(unnamed class/struct/union)","unused","u32",0,false
"(unnamed class/struct/union)","unused","u32",1,false
"(unnamed class/struct/union)","unused","u32",2,false
"(unnamed class/struct/union)","unused","u32",3,false
"(unnamed class/struct/union)","unused","u8",0,false
"(unnamed class/struct/union)","unused","u8[3]",13,false
"(unnamed class/struct/union)","unused","__u32",2,false
"(unnamed class/struct/union)","unused","unsigned long[0]",72,false
"(unnamed class/struct/union)","unused","unsigned long[0]",88,false
"(unnamed class/struct/union)","unused","__u64[4]",0,false
"(unnamed class/struct/union)","unused","u8[1]",1,false
"(unnamed class/struct/union)","s","const char *",0,false
"(unnamed class/struct/union)","s","short",0,false
"(unnamed class/struct/union)","s","long long",0,false
"(unnamed class/struct/union)","s","(unnamed class/struct/union)",0,false
"(unnamed class/struct/union)","s","segment_map[7]",0,false
"(unnamed class/struct/union)","s","yld_status",0,false
"(unnamed class/struct/union)","s","closure_syncer *",8,false
"(unnamed class/struct/union)","s","urbp *",0,false
"(unnamed class/struct/union)","s","vduse_dev_status",0,false
"(unnamed class/struct/union)","s","xfs_btree_block_shdr",0,false
"(unnamed class/struct/union)","s","__xfsstats",0,false
"(unnamed class/struct/union)","p","unsigned int",292,false
"(unnamed class/struct/union)","p","void *",0,false
"(unnamed class/struct/union)","p","u8 *",0,false
"(unnamed class/struct/union)","p","unsigned int *",0,false
"(unnamed class/struct/union)","p","const unsigned int *",0,false
"(unnamed class/struct/union)","p","(unnamed class/struct/union)",0,false
"(unnamed class/struct/union)","p","unsigned char[128]",0,false
"(unnamed class/struct/union)","p","dma_addr_t",8,false
"(unnamed class/struct/union)","p","dma_addr_t",16,false
"(unnamed class/struct/union)","p","uint64_t",0,false
"(unnamed class/struct/union)","p","u_char *",8,false
"(unnamed class/struct/union)","p","pictogram_map",0,false
"(unnamed class/struct/union)","p","e1000_opt_list *",8,false
"(unnamed class/struct/union)","p","block_t *",0,false
"(unnamed class/struct/union)","di","u16",0,false
"(unnamed class/struct/union)","si","u16",4,false
"(unnamed class/struct/union)","ptr","const char *",16,false
"(unnamed class/struct/union)","ptr","char *",0,false
"(unnamed class/struct/union)","ptr","char *",24,false
"(unnamed class/struct/union)","ptr","unsigned char *",0,false
"(unnamed class/struct/union)","ptr","const void *",0,false
"(unnamed class/struct/union)","ptr","void *",0,false
"(unnamed class/struct/union)","ptr","unsigned long *",16,false
"(unnamed class/struct/union)","ptr","unsigned int *",0,false
"(unnamed class/struct/union)","ptr","(unnamed class/struct/union)",0,false
"(unnamed class/struct/union)","ptr","(unnamed class/struct/union)",24,false
"(unnamed class/struct/union)","ptr","void *[]",0,false
"(unnamed class/struct/union)","ptr","u64 *",0,false
"(unnamed class/struct/union)","ptr","u64",0,false
"(unnamed class/struct/union)","ptr","__u64",0,false
"(unnamed class/struct/union)","ptr","binder_uintptr_t",0,false
"(unnamed class/struct/union)","ptr","counter_event *",0,false
"(unnamed class/struct/union)","ptr","ir_raw_event *",0,false
"(unnamed class/struct/union)","ptr","SVGAGuestPtr",0,false
"(unnamed class/struct/union)","ptr","iio_event_data *",0,false
"(unnamed class/struct/union)","ptr","lirc_scancode *",0,false
"(unnamed class/struct/union)","ptr","compat_uptr_t",0,false
"(unnamed class/struct/union)","ptr","rmi4_attn_data *",0,false
"(unnamed class/struct/union)","ptr","htt_tx_done *",0,false
"(unnamed class/struct/union)","ptr","aer_err_source *",0,false
"(unnamed class/struct/union)","ptr","ci_hw_qh *",16,false
"(unnamed class/struct/union)","ptr","usb_request **",0,false
"(unnamed class/struct/union)","ptr","assoc_array_ptr **",0,false
"(unnamed class/struct/union)","ptr","BYTE *",40,false
"(unnamed class/struct/union)","dx","u16",20,false
"(unnamed class/struct/union)","v","unsigned long",0,false
"(unnamed class/struct/union)","v","__u8 *",0,false
"(unnamed class/struct/union)","v","folio *",0,false
"(unnamed class/struct/union)","v","pvclock_vcpu_time_info *",0,false
"(unnamed class/struct/union)","v","vcpu_runstate_info *",0,false
"(unnamed class/struct/union)","v","local64_t",0,false
"(unnamed class/struct/union)","cx","u16",24,false
"(unnamed class/struct/union)","m","u8[16]",16,false
"(unnamed class/struct/union)","m","__u8 *",304,false
"(unnamed class/struct/union)","m","__le16",3,false
"(unnamed class/struct/union)","m","__u32",0,false
"(unnamed class/struct/union)","m","dma_addr_t",0,false
"(unnamed class/struct/union)","m","streebog_uint512",0,false
"(unnamed class/struct/union)","c","char[2]",0,false
"(unnamed class/struct/union)","c","__le64",16,false
"(unnamed class/struct/union)","c","u32",8,false
"(unnamed class/struct/union)","c","u8",2,false
"(unnamed class/struct/union)","c","char[1]",0,false
"(unnamed class/struct/union)","c","dma_addr_t",0,false
"(unnamed class/struct/union)","c","SVGA3dCmdSetTextureState",0,false
"(unnamed class/struct/union)","c","snd_kcontrol_tlv_rw_t *",0,false
"(unnamed class/struct/union)","cpu","unsigned int",16,false
"(unnamed class/struct/union)","cpu","u32",0,false
"(unnamed class/struct/union)","cpu","__u32",8,false
"(unnamed class/struct/union)","cpu","__u32",68,false
"(unnamed class/struct/union)","cpu","cpu_timer",0,false
"(unnamed class/struct/union)","main","int",4,false
"(unnamed class/struct/union)","byte","u8",0,false
"(unnamed class/struct/union)","byte","BYTE",1,false
"(unnamed class/struct/union)","cnt","int",0,false
"(unnamed class/struct/union)","cnt","int",12,false
"(unnamed class/struct/union)","cnt","int",16,false
"(unnamed class/struct/union)","cnt","u64",0,false
"(unnamed class/struct/union)","cnt","__u32",4,false
"(unnamed class/struct/union)","cnt","__u32",32,false
"(unnamed class/struct/union)","private","void *",0,false
"(unnamed class/struct/union)","private","unsigned long",16,false
"(unnamed class/struct/union)","private","unsigned long",32,false
"(unnamed class/struct/union)","private","__s32",0,false
"(unnamed class/struct/union)","reg","unsigned long *",0,false
"(unnamed class/struct/union)","reg","(unnamed class/struct/union)",0,false
"(unnamed class/struct/union)","reg","u16",0,false
"(unnamed class/struct/union)","reg","u32",0,false
"(unnamed class/struct/union)","reg","u8",1,false
"(unnamed class/struct/union)","reg","u32[2]",0,false
"(unnamed class/struct/union)","reg","cpc_reg",0,false
"(unnamed class/struct/union)","reg","i915_reg_t",0,false
"(unnamed class/struct/union)","reg","uint32",4,false
"(unnamed class/struct/union)","reg","rdma_rw_reg_ctx *",0,false
"(unnamed class/struct/union)","pos","unsigned short",0,false
"(unnamed class/struct/union)","pos","long",16,false
"(unnamed class/struct/union)","pos","u8",2,false
"(unnamed class/struct/union)","pos","size_t",0,false
"(unnamed class/struct/union)","pos","size_t",8,false
"(unnamed class/struct/union)","pos","size_t",24,false
"(unnamed class/struct/union)","pos","loff_t",8,false
"(unnamed class/struct/union)","pos","loff_t",16,false
"(unnamed class/struct/union)","pos","loff_t",144,false
"(unnamed class/struct/union)","crc","__le32",24,false
"(unnamed class/struct/union)","crc","u64",8,false
"(unnamed class/struct/union)","crc","__u16",8,false
"(unnamed class/struct/union)","gs","u16",32,false
"(unnamed class/struct/union)","buffer","char[]",0,false
"(unnamed class/struct/union)","buffer","void *",0,false
"(unnamed class/struct/union)","buffer","u8[16]",0,false
"(unnamed class/struct/union)","buffer","(unnamed class/struct/union)",0,false
"(unnamed class/struct/union)","buffer","u8[64]",0,false
"(unnamed class/struct/union)","buffer","void **",0,false
"(unnamed class/struct/union)","buffer","binder_uintptr_t",0,false
"(unnamed class/struct/union)","atomic","(unnamed class/struct/union)",0,false
"(unnamed class/struct/union)","atomic","rm_atomic_op",0,false
"(unnamed class/struct/union)","len","int",0,false
"(unnamed class/struct/union)","len","int",4,false
"(unnamed class/struct/union)","len","unsigned int",0,false
"(unnamed class/struct/union)","len","unsigned int",8,false
"(unnamed class/struct/union)","len","const int",24,false
"(unnamed class/struct/union)","len","u16",0,false
"(unnamed class/struct/union)","len","u16",4,false
"(unnamed class/struct/union)","len","u16",6,false
"(unnamed class/struct/union)","len","__be16",0,false
"(unnamed class/struct/union)","len","__le32",0,false
"(unnamed class/struct/union)","len","__le32",4,false
"(unnamed class/struct/union)","len","u32",0,false
"(unnamed class/struct/union)","len","u32",4,false
"(unnamed class/struct/union)","len","u32",8,false
"(unnamed class/struct/union)","len","u32",16,false
"(unnamed class/struct/union)","len","u8",0,false
"(unnamed class/struct/union)","len","u8",1,false
"(unnamed class/struct/union)","len","u8",3,false
"(unnamed class/struct/union)","len","u8",8,false
"(unnamed class/struct/union)","len","u8",9,false
"(unnamed class/struct/union)","len","ush",0,false
"(unnamed class/struct/union)","len","u64",8,false
"(unnamed class/struct/union)","len","u64",24,false
"(unnamed class/struct/union)","len","__u64",16,false
"(unnamed class/struct/union)","len","__u32",8,false
"(unnamed class/struct/union)","len","__u32",16,false
"(unnamed class/struct/union)","len","__u32",32,false
"(unnamed class/struct/union)","len","__u8",0,false
"(unnamed class/struct/union)","len","uint32_t",36,false
"(unnamed class/struct/union)","len","u_int",0,false
"(unnamed class/struct/union)","len","u_int",4,false
"(unnamed class/struct/union)","len","size_t",0,false
"(unnamed class/struct/union)","len","size_t",8,false
"(unnamed class/struct/union)","len","size_t",16,false
"(unnamed class/struct/union)","len","__u32[18]",144,false
"(unnamed class/struct/union)","len","U32",4,false
"(unnamed class/struct/union)","len","fs16",6,false
"(unnamed class/struct/union)","t1","unsigned int",12,false
"(unnamed class/struct/union)","ctx","void *",8,false
"(unnamed class/struct/union)","ctx","char[4]",8,false
"(unnamed class/struct/union)","ctx","u32",0,false
"(unnamed class/struct/union)","ctx","u8[48]",0,false
"(unnamed class/struct/union)","ctx","eventfd_ctx *",8,false
"(unnamed class/struct/union)","ctx","io_ring_ctx *",0,false
"(unnamed class/struct/union)","dst","unsigned short",2,false
"(unnamed class/struct/union)","dst","(unnamed class/struct/union)",128,false
"(unnamed class/struct/union)","dst","__be32",4,false
"(unnamed class/struct/union)","dst","__be16",2,false
"(unnamed class/struct/union)","dst","u8[6]",6,false
"(unnamed class/struct/union)","dst","unsigned char[6]",0,false
"(unnamed class/struct/union)","dst","__be32[4]",16,false
"(unnamed class/struct/union)","dst","dst_entry",0,false
"(unnamed class/struct/union)","dst","dst_entry *",0,false
"(unnamed class/struct/union)","dst","drm_rect",0,false
"(unnamed class/struct/union)","dst","in6_addr",0,false
"(unnamed class/struct/union)","dst","in6_addr",16,false
"(unnamed class/struct/union)","src","unsigned short",0,false
"(unnamed class/struct/union)","src","(unnamed class/struct/union)",0,false
"(unnamed class/struct/union)","src","__be32",0,false
"(unnamed class/struct/union)","src","__be16",0,false
"(unnamed class/struct/union)","src","u8",6,false
"(unnamed class/struct/union)","src","u8[6]",0,false
"(unnamed class/struct/union)","src","unsigned char[6]",6,false
"(unnamed class/struct/union)","src","__be32[4]",0,false
"(unnamed class/struct/union)","src","SVGA3dSurfaceImageId",0,false
"(unnamed class/struct/union)","src","in6_addr",0,false
"(unnamed class/struct/union)","src","in6_addr",16,false
"(unnamed class/struct/union)","src","nf_conntrack_man",0,false
"(unnamed class/struct/union)","tfm","crypto_shash *",8,false
"(unnamed class/struct/union)","tfm","crypto_aead *",8,false
"(unnamed class/struct/union)","tfm","crypto_aead *",104,false
"(unnamed class/struct/union)","key","unsigned int",8,false
"(unnamed class/struct/union)","key","void *",0,false
"(unnamed class/struct/union)","key","u32[4]",0,false
"(unnamed class/struct/union)","key","(unnamed class/struct/union)",16,false
"(unnamed class/struct/union)","key","u64[2]",0,false
"(unnamed class/struct/union)","key","__be32",6,false
"(unnamed class/struct/union)","key","__be16",0,false
"(unnamed class/struct/union)","key","u32",8,false
"(unnamed class/struct/union)","key","unsigned long[2]",0,false
"(unnamed class/struct/union)","key","__u64",8,false
"(unnamed class/struct/union)","key","__u32",8,false
"(unnamed class/struct/union)","key","__u8",1,false
"(unnamed class/struct/union)","key","u8[128]",2,false
"(unnamed class/struct/union)","key","u8[32]",0,false
"(unnamed class/struct/union)","key","__u8[8]",8,false
"(unnamed class/struct/union)","key","u8[]",36,false
"(unnamed class/struct/union)","key","key_serial_t",0,false
"(unnamed class/struct/union)","key","bkey",0,false
"(unnamed class/struct/union)","key","block_t",8,false
"(unnamed class/struct/union)","key_len","u16",34,false
"(unnamed class/struct/union)","key_len","__be16",0,false
"(unnamed class/struct/union)","port","int",0,false
"(unnamed class/struct/union)","port","int",148,false
"(unnamed class/struct/union)","port","int",152,false
"(unnamed class/struct/union)","port","port",0,false
"(unnamed class/struct/union)","port","(unnamed class/struct/union)",0,false
"(unnamed class/struct/union)","port","u16",0,false
"(unnamed class/struct/union)","port","u16",8,false
"(unnamed class/struct/union)","port","__be32",8,false
"(unnamed class/struct/union)","port","__be16",0,false
"(unnamed class/struct/union)","port","__be16",4,false
"(unnamed class/struct/union)","port","__le32",4,false
"(unnamed class/struct/union)","port","__le32",12,false
"(unnamed class/struct/union)","port","u32",0,false
"(unnamed class/struct/union)","port","u8",0,false
"(unnamed class/struct/union)","port","u8",3,false
"(unnamed class/struct/union)","port","__u32",0,false
"(unnamed class/struct/union)","port","__u16",2,false
"(unnamed class/struct/union)","port","__u16",4,false
"(unnamed class/struct/union)","port","__u16",22,false
"(unnamed class/struct/union)","port","__u8",1,false
"(unnamed class/struct/union)","port","__u8",4,false
"(unnamed class/struct/union)","port","hv_port_id",0,false
"(unnamed class/struct/union)","port","kvm_xen_evtchn",0,false
"(unnamed class/struct/union)","port","evtchn_port_t",4,false
"(unnamed class/struct/union)","port","pnp_port",0,false
"(unnamed class/struct/union)","port","usb_port_status",0,false
"(unnamed class/struct/union)","port","net_bridge_port *",0,false
"(unnamed class/struct/union)","args","int",8,false
"(unnamed class/struct/union)","args","unsigned int[4]",0,false
"(unnamed class/struct/union)","args","unsigned long[6]",16,false
"(unnamed class/struct/union)","args","__u64[6]",8,false
"(unnamed class/struct/union)","args","__u64[9]",16,false
"(unnamed class/struct/union)","args","long[6]",0,false
"(unnamed class/struct/union)","args","long[6]",8,false
"(unnamed class/struct/union)","args","as10x_tune_args",2,false
"(unnamed class/struct/union)","thread","hfsplus_cat_thread",0,false
"(unnamed class/struct/union)","mode","unsigned char",0,false
"(unnamed class/struct/union)","mode","unsigned int",8,false
"(unnamed class/struct/union)","mode","(unnamed enum)",144,false
"(unnamed class/struct/union)","mode","const int",0,false
"(unnamed class/struct/union)","mode","__le32",0,false
"(unnamed class/struct/union)","mode","__le32",4,false
"(unnamed class/struct/union)","mode","u8",0,false
"(unnamed class/struct/union)","mode","u8",1,false
"(unnamed class/struct/union)","mode","u8",4,false
"(unnamed class/struct/union)","mode","uint8_t",2,false
"(unnamed class/struct/union)","mode","umode_t",4,false
"(unnamed class/struct/union)","mode","umode_t",8,false
"(unnamed class/struct/union)","mode","mode_t",4,false
"(unnamed class/struct/union)","mode","rnbd_access_mode",0,false
"(unnamed class/struct/union)","mode","drm_display_mode",32,false
"(unnamed class/struct/union)","mode","uint16",0,false
"(unnamed class/struct/union)","mode","SVGA3dStretchBltMode",72,false
"(unnamed class/struct/union)","mode","dvb_usb_mode",0,false
"(unnamed class/struct/union)","mode","htt_tx_mode_switch_mode",32,false
"(unnamed class/struct/union)","mode","fs32",20,false
"(unnamed class/struct/union)","ilen","u8",1,false
"(unnamed class/struct/union)","ilen","u8",4,false
"(unnamed class/struct/union)","state","bool",40,false
"(unnamed class/struct/union)","state","int",16,false
"(unnamed class/struct/union)","state","unsigned int",84,false
"(unnamed class/struct/union)","state","unsigned long",80,false
"(unnamed class/struct/union)","state","(unnamed enum)",12,false
"(unnamed class/struct/union)","state","u32",0,false
"(unnamed class/struct/union)","state","__u64",0,false
"(unnamed class/struct/union)","state","__u8",1,false
"(unnamed class/struct/union)","state","__u8",7,false
"(unnamed class/struct/union)","state","__u8",29,false
"(unnamed class/struct/union)","state","xfrm_state_walk",0,false
"(unnamed class/struct/union)","state","size_t",0,false
"(unnamed class/struct/union)","state","split_lock_detect_state",8,false
"(unnamed class/struct/union)","state","SVGA3dQueryState",4,false
"(unnamed class/struct/union)","state","SVGA3dRenderStateName",0,false
"(unnamed class/struct/union)","state","SVGADXQueryDeviceState",3,false
"(unnamed class/struct/union)","state","ath10k_scan_state",432,false
"(unnamed class/struct/union)","state","ath11k_scan_state",432,false
"(unnamed class/struct/union)","state","virtio_mem_resp_state",0,false
"(unnamed class/struct/union)","state","virtio_mem_req_state",0,false
"(unnamed class/struct/union)","state","bpf_iter_state",12,false
"(unnamed class/struct/union)","f","float",0,false
"(unnamed class/struct/union)","f","(unnamed class/struct/union)",0,false
"(unnamed class/struct/union)","section","char *",0,false
"(unnamed class/struct/union)","section","Elf32_Section",2,false
"(unnamed class/struct/union)","(unknown field)","(unnamed class/struct/union)",0,false
"(unnamed class/struct/union)","(unknown field)","(unnamed class/struct/union)",1,false
"(unnamed class/struct/union)","(unknown field)","(unnamed class/struct/union)",4,false
"(unnamed class/struct/union)","(unknown field)","(unnamed class/struct/union)",8,false
"(unnamed class/struct/union)","(unknown field)","(unnamed class/struct/union)",12,false
"(unnamed class/struct/union)","(unknown field)","(unnamed class/struct/union)",16,false
"(unnamed class/struct/union)","(unknown field)","(unnamed class/struct/union)",18,false
"(unnamed class/struct/union)","(unknown field)","(unnamed class/struct/union)",20,false
"(unnamed class/struct/union)","(unknown field)","(unnamed class/struct/union)",24,false
"(unnamed class/struct/union)","(unknown field)","(unnamed class/struct/union)",28,false
"(unnamed class/struct/union)","(unknown field)","(unnamed class/struct/union)",32,false
"(unnamed class/struct/union)","(unknown field)","(unnamed class/struct/union)",40,false
"(unnamed class/struct/union)","(unknown field)","(unnamed class/struct/union)",44,false
"(unnamed class/struct/union)","(unknown field)","(unnamed class/struct/union)",64,false
"(unnamed class/struct/union)","(unknown field)","(unnamed class/struct/union)",104,false
"(unnamed class/struct/union)","(unknown field)","(unnamed class/struct/union)",108,false
"(unnamed class/struct/union)","(unknown field)","(unnamed class/struct/union)",112,false
"(unnamed class/struct/union)","(unknown field)","(unnamed class/struct/union)",136,false
"(unnamed class/struct/union)","(unknown field)","(unnamed class/struct/union)",144,false
"(unnamed class/struct/union)","debug","(unnamed class/struct/union)",0,false
"(unnamed class/struct/union)","sites","static_call_site *",0,false
"(unnamed class/struct/union)","crtc","drm_crtc *",0,false
"(unnamed class/struct/union)","retval","int",0,false
"(unnamed class/struct/union)","retval","__u32",4,false
"(unnamed class/struct/union)","retval","__s32",0,false
"(unnamed class/struct/union)","addr","const u8 *",0,false
"(unnamed class/struct/union)","addr","const void *",8,false
"(unnamed class/struct/union)","addr","void *",0,false
"(unnamed class/struct/union)","addr","void *",8,false
"(unnamed class/struct/union)","addr","void *",16,false
"(unnamed class/struct/union)","addr","void *",32,false
"(unnamed class/struct/union)","addr","unsigned long",0,false
"(unnamed class/struct/union)","addr","(unnamed class/struct/union)",0,false
"(unnamed class/struct/union)","addr","__be32",0,false
"(unnamed class/struct/union)","addr","__be32",12,false
"(unnamed class/struct/union)","addr","__le32",0,false
"(unnamed class/struct/union)","addr","u8",1,false
"(unnamed class/struct/union)","addr","u64",0,false
"(unnamed class/struct/union)","addr","u64",1,false
"(unnamed class/struct/union)","addr","u64",8,false
"(unnamed class/struct/union)","addr","__u64",0,false
"(unnamed class/struct/union)","addr","__u64",16,false
"(unnamed class/struct/union)","addr","__u32",0,false
"(unnamed class/struct/union)","addr","__u8",0,false
"(unnamed class/struct/union)","addr","__u8",12,false
"(unnamed class/struct/union)","addr","u_int",4,false
"(unnamed class/struct/union)","addr","u8[6]",0,false
"(unnamed class/struct/union)","addr","u8[6]",8,false
"(unnamed class/struct/union)","addr","sockaddr",0,false
"(unnamed class/struct/union)","addr","in_addr",0,false
